Start Character,Header,Vendor Identification,Software Version,PACKET TYPE,PACKET IDENTIFIER,Live /History Packet,IMEI Number,Vehicle Registration Number,GPS Fix.1 or 0,Date in DDMMYYYY Format,Time HHMMSS Format,Latitude in decimal degree & Direction,,Longitude in decimal degree & Direction,,Speed,Heading,Number Of Satellites,Altitude in meters,PDOP Positional dilution of precision,HDOP Horizontal dilution of precision,Network Operator Name,Ignition Status,Vehicle Battery Status (1 or 0),Vehicle Battery Voltage,Internal Battery Voltage,Emergency Status (1 or 0),Tamper Alert. C (Close) or O (Open),GSM Signal Strength,MCC,MNC,LAC,Cell ID,NMR (Network Measurement Report) Neighboring Cell IDs,,,,,,,,,,,,Digital Inputs Status,Digital Outputs Status,Sequence Number Of Message,End Of Packet,Packet Arrival Date,Packet Arrival Time
$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,H,8.64337E+14,TN04E1234,1,26052022,143553,18.557138,N,73.799515,E,0,151,7,582,1.21,1.51,BSNL,1,0,0,0,27-05-2022,34:44.6,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,H,8.64337E+14,TN04E1234,1,26052022,143603,18.557138,N,73.799515,E,0,151,7,582,1.21,1.51,BSNL,1,0,0,0,27-05-2022,34:44.6,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,H,8.64337E+14,TN04E1234,1,26052022,143613,18.557138,N,73.799515,E,0,151,7,582,1.21,1.51,BSNL,1,0,0,0,27-05-2022,34:44.6,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,H,8.64337E+14,TN04E1234,1,26052022,143623,18.557138,N,73.799515,E,0,151,7,582,1.21,1.51,BSNL,1,0,0,0,27-05-2022,34:44.6,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,H,8.64337E+14,TN04E1234,1,26052022,143633,18.557138,N,73.799515,E,0,81,7,582,1.21,1.51,BSNL,1,0,0,0,27-05-2022,34:44.6,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,H,8.64337E+14,TN04E1234,1,26052022,143643,18.557138,N,73.799515,E,0,276,7,582,1.21,1.51,BSNL,1,0,0,0,27-05-2022,34:44.6,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,H,8.64337E+14,TN04E1234,1,26052022,143653,18.557138,N,73.799515,E,0,38,7,582,1.21,1.51,BSNL,1,0,0,0,27-05-2022,34:44.6,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,H,8.64337E+14,TN04E1234,1,26052022,143703,18.557138,N,73.799515,E,0,65,7,582,1.21,1.51,BSNL,1,0,0,0,27-05-2022,34:44.6,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,H,8.64337E+14,TN04E1234,1,26052022,143813,18.557184,N,73.799294,E,0,96,6,584,1.23,1.54,BSNL,1,0,0,0,27-05-2022,35:14.7,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,H,8.64337E+14,TN04E1234,0,0,0,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,35:14.7,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,H,8.64337E+14,TN04E1234,0,0,0,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,35:14.7,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,H,8.64337E+14,TN04E1234,0,0,0,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,35:14.7,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,H,8.64337E+14,TN04E1234,0,0,0,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,35:14.7,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,48,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,35:14.7,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,58,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,35:14.7,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,108,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,35:14.7,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,118,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,35:14.7,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,128,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,35:30.3,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,138,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,35:30.3,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,H,8.64337E+14,TN04E1234,0,0,0,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,35:30.3,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,H,8.64337E+14,TN04E1234,0,0,0,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,35:30.3,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,H,8.64337E+14,TN04E1234,0,0,0,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,35:30.3,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,H,8.64337E+14,TN04E1234,0,0,0,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,35:30.3,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,48,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,35:30.3,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,58,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,35:30.3,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,108,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,35:30.3,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,118,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,35:47.6,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,128,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,35:47.6,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,138,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,35:47.6,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,148,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,35:47.6,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,158,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,35:47.6,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,208,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,35:47.6,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,218,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,35:47.6,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,228,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,35:47.6,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,238,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,35:47.6,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,248,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,36:04.9,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,258,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,36:04.9,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,308,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,36:04.9,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,318,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,36:04.9,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,328,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,36:04.9,,,,,,,,,,,,,,,,,,,,,,,
