,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,$,1,SECURE,SAM1.0,DT,H,8.64337E+14,TN04E1234,0,0,0,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,1,59*
1,$,1,SECURE,SAM1.0,DT,H,8.64337E+14,TN04E1234,0,0,0,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,2,60*
2,$,1,SECURE,SAM1.0,DT,H,8.64337E+14,TN04E1234,0,0,0,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,3,61*
3,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,50,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,4,88*
4,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,100,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,5,85*
5,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,110,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,6,87*
6,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,120,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,7,89*
7,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,130,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,8,91*
8,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,140,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,9,93*
9,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,150,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,10,86*
10,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,200,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,11,83*
11,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,210,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,12,85*
12,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,220,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,13,87*
13,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,230,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,14,89*
14,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,240,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,15,91*
15,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,250,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,16,93*
16,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,300,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,17,90*
17,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,310,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,18,92*
18,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,320,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,19,94*
19,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,330,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,20,87*
20,$,1,SECURE,SAM1.0,DT,H,8.64337E+14,TN04E1234,0,6012080,330,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,20,83*
21,$,1,SECURE,SAM1.0,DT,H,8.64337E+14,TN04E1234,0,6012080,340,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,21,85*
22,$,1,SECURE,SAM1.0,DT,H,8.64337E+14,TN04E1234,0,6012080,350,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,22,87*
23,$,1,SECURE,SAM1.0,DT,H,8.64337E+14,TN04E1234,0,6012080,400,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,23,84*
24,$,1,SECURE,SAM1.0,DT,H,8.64337E+14,TN04E1234,0,6012080,410,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,24,86*
25,$,1,SECURE,SAM1.0,DT,H,8.64337E+14,TN04E1234,0,6012080,420,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,25,88*
26,$,1,SECURE,SAM1.0,DT,H,8.64337E+14,TN04E1234,0,6012080,430,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,26,90*
27,$,1,SECURE,SAM1.0,DT,H,8.64337E+14,TN04E1234,0,6012080,440,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,27,92*
28,$,1,SECURE,SAM1.0,DT,H,8.64337E+14,TN04E1234,0,6012080,450,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,28,94*
29,$,1,SECURE,SAM1.0,DT,H,8.64337E+14,TN04E1234,0,6012080,500,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,29,91*
30,$,1,SECURE,SAM1.0,DT,H,8.64337E+14,TN04E1234,0,6012080,510,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,30,84*
31,$,1,SECURE,SAM1.0,DT,H,8.64337E+14,TN04E1234,0,6012080,520,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,31,86*
32,$,1,SECURE,SAM1.0,DT,H,8.64337E+14,TN04E1234,0,6012080,530,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,32,88*
33,$,1,SECURE,SAM1.0,DT,H,8.64337E+14,TN04E1234,0,6012080,540,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,33,90*
34,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,550,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,34,96*
35,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,600,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,35,93*
36,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,610,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,36,95*
37,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,620,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,37,97*
38,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,630,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,38,99*
39,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,640,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,39,101*
40,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,650,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,40,94*
41,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,700,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,41,91*
42,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,710,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,42,93*
43,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,720,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,43,95*
44,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,730,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,44,97*
45,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,743,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,45,102*
